annotator_id,name,country,tier,hired_date
1,Mika_01,Germany,junior,2026-04-05
2,Aki_02,Japan,senior,2026-01-05
3,Aisha_03,India,junior,2026-01-26
4,Aisha_04,Brazil,junior,2026-01-21
5,Mika_05,Brazil,junior,2026-02-18
6,Bruno_06,Nigeria,senior,2026-04-04
7,Nina_07,Nigeria,junior,2026-02-07
8,Yuki_08,USA,junior,2026-01-11
9,Nina_09,India,junior,2026-02-17
10,Hans_10,Nigeria,junior,2026-01-10
11,Yuki_11,Germany,junior,2026-03-23
12,Ravi_12,USA,junior,2026-04-16
13,Tomas_13,India,junior,2026-04-23
14,Chioma_14,Brazil,junior,2026-02-28
