audit_id,annotation_id,reviewer_id,quality_score,verdict,error_type,audited_at
1,1,2,60.8,rejected,missed_segment,2026-03-23 13:31:00
2,2,2,93.4,approved,,2026-03-09 05:55:00
3,3,6,58.3,rejected,wrong_speaker,2026-03-24 21:41:00
4,4,2,60.5,rejected,timestamp_drift,2026-03-15 09:06:00
5,5,2,76.8,minor_fix,timestamp_drift,2026-03-12 08:57:00
6,6,6,87.5,approved,,2026-03-24 01:51:00
7,7,2,71.5,minor_fix,missed_segment,2026-03-29 23:44:00
8,8,6,89.6,approved,,2026-03-09 19:33:00
9,9,6,97.0,approved,,2026-03-25 22:30:00
10,10,6,71.5,minor_fix,bad_transcript,2026-03-19 01:20:00
11,11,2,84.9,approved,,2026-03-18 03:58:00
12,12,2,95.4,approved,,2026-03-22 23:31:00
13,13,6,72.4,minor_fix,wrong_emotion,2026-03-06 17:07:00
14,14,2,59.8,rejected,bad_transcript,2026-03-25 16:13:00
15,15,6,92.2,approved,,2026-03-16 02:50:00
16,16,2,89.0,approved,,2026-03-15 06:10:00
17,17,6,88.4,approved,,2026-03-20 11:30:00
18,18,6,62.1,rejected,guideline_violation,2026-03-05 00:53:00
19,19,6,69.9,minor_fix,missed_segment,2026-03-02 23:26:00
20,20,2,68.2,minor_fix,missed_segment,2026-03-21 18:57:00
21,21,2,98.6,approved,,2026-03-25 23:49:00
22,22,2,85.6,approved,,2026-03-13 08:14:00
23,23,6,80.4,minor_fix,guideline_violation,2026-03-27 05:06:00
24,24,2,89.8,approved,,2026-03-17 19:24:00
25,25,2,95.0,approved,,2026-03-30 07:46:00
26,26,2,89.1,approved,,2026-03-16 05:46:00
27,27,6,66.8,rejected,timestamp_drift,2026-03-07 18:30:00
28,28,2,82.3,approved,,2026-03-30 04:26:00
29,29,6,73.5,minor_fix,missed_segment,2026-04-01 06:49:00
30,30,6,91.7,approved,,2026-03-09 05:54:00
31,31,2,87.2,approved,,2026-03-30 08:46:00
32,32,6,65.1,rejected,missed_segment,2026-03-23 17:14:00
33,33,2,62.2,rejected,guideline_violation,2026-03-27 02:15:00
34,34,6,92.7,approved,,2026-03-13 18:29:00
35,35,6,72.3,minor_fix,wrong_emotion,2026-03-05 20:58:00
36,36,6,62.9,rejected,bad_transcript,2026-03-19 10:34:00
37,37,6,74.4,minor_fix,wrong_emotion,2026-03-25 08:17:00
38,38,6,80.9,minor_fix,wrong_emotion,2026-03-11 02:00:00
39,39,2,82.1,approved,,2026-03-21 06:16:00
40,40,6,62.2,rejected,timestamp_drift,2026-03-14 22:59:00
41,41,2,81.1,minor_fix,wrong_emotion,2026-03-08 15:11:00
42,42,6,71.6,minor_fix,wrong_speaker,2026-03-26 22:27:00
43,43,2,79.6,minor_fix,missed_segment,2026-03-27 02:20:00
44,44,6,56.0,rejected,missed_segment,2026-03-07 05:46:00
45,45,6,69.1,minor_fix,missed_segment,2026-03-12 16:54:00
46,46,2,60.6,rejected,bad_transcript,2026-03-03 21:11:00
47,47,6,86.7,approved,,2026-04-01 03:57:00
48,48,6,52.1,rejected,guideline_violation,2026-03-05 12:58:00
49,49,2,69.5,minor_fix,timestamp_drift,2026-03-14 14:19:00
50,50,6,93.9,approved,,2026-03-22 00:46:00
51,51,2,73.1,minor_fix,bad_transcript,2026-03-15 21:22:00
52,52,2,59.0,rejected,wrong_emotion,2026-03-09 21:59:00
53,53,2,75.9,minor_fix,missed_segment,2026-03-29 22:06:00
54,54,2,65.0,rejected,bad_transcript,2026-03-23 12:51:00
55,55,6,69.1,minor_fix,wrong_speaker,2026-03-04 13:46:00
56,56,6,92.4,approved,,2026-03-18 07:26:00
57,57,2,65.4,rejected,missed_segment,2026-03-30 12:53:00
58,58,6,65.8,rejected,bad_transcript,2026-03-06 01:20:00
59,59,2,53.6,rejected,timestamp_drift,2026-03-10 09:29:00
60,60,2,73.8,minor_fix,timestamp_drift,2026-03-29 12:34:00
61,61,2,87.2,approved,,2026-03-09 23:28:00
62,62,6,60.8,rejected,missed_segment,2026-03-25 07:34:00
63,63,6,87.1,approved,,2026-03-17 00:02:00
64,64,2,57.6,rejected,bad_transcript,2026-03-08 04:57:00
65,65,6,71.2,minor_fix,timestamp_drift,2026-03-15 02:11:00
66,66,2,79.7,minor_fix,bad_transcript,2026-03-28 15:23:00
67,67,2,83.1,approved,,2026-03-05 19:42:00
68,68,2,86.8,approved,,2026-03-21 14:54:00
69,69,2,91.1,approved,,2026-03-10 07:04:00
70,70,2,72.2,minor_fix,timestamp_drift,2026-03-21 21:30:00
71,71,6,81.0,minor_fix,missed_segment,2026-03-26 21:33:00
72,72,6,79.5,minor_fix,wrong_speaker,2026-03-12 01:14:00
73,73,6,61.5,rejected,missed_segment,2026-03-20 17:46:00
74,74,2,84.3,approved,,2026-03-12 10:42:00
75,75,2,99.1,approved,,2026-03-04 14:40:00
76,76,6,98.2,approved,,2026-03-28 13:37:00
77,77,2,88.0,approved,,2026-03-11 13:31:00
78,78,2,60.8,rejected,bad_transcript,2026-03-17 00:12:00
79,79,6,59.8,rejected,timestamp_drift,2026-03-13 00:59:00
80,80,2,64.9,rejected,wrong_emotion,2026-03-17 09:17:00
81,81,2,68.1,minor_fix,guideline_violation,2026-03-12 03:08:00
82,82,6,76.9,minor_fix,missed_segment,2026-03-06 19:21:00
83,83,6,79.9,minor_fix,wrong_emotion,2026-03-17 14:03:00
84,84,2,92.2,approved,,2026-03-17 07:31:00
85,85,6,69.3,minor_fix,timestamp_drift,2026-03-11 02:37:00
86,86,6,92.1,approved,,2026-03-18 13:20:00
87,87,6,56.1,rejected,guideline_violation,2026-03-26 12:47:00
88,88,6,79.6,minor_fix,wrong_emotion,2026-03-31 00:33:00
89,89,6,85.0,approved,,2026-03-16 01:12:00
90,90,6,95.5,approved,,2026-03-17 23:39:00
91,91,2,51.0,rejected,wrong_emotion,2026-03-19 19:37:00
92,92,2,60.9,rejected,wrong_emotion,2026-03-18 21:51:00
93,93,6,52.5,rejected,timestamp_drift,2026-03-17 22:57:00
94,94,2,62.7,rejected,wrong_speaker,2026-03-13 23:39:00
95,95,6,62.4,rejected,missed_segment,2026-03-13 01:31:00
96,96,6,62.0,rejected,timestamp_drift,2026-03-20 05:00:00
97,97,2,85.4,approved,,2026-03-31 22:23:00
98,98,6,56.2,rejected,missed_segment,2026-03-15 19:55:00
99,99,2,100,approved,,2026-03-21 16:02:00
100,100,2,73.4,minor_fix,timestamp_drift,2026-03-12 22:01:00
101,101,6,65.9,rejected,timestamp_drift,2026-03-19 10:25:00
102,102,6,95.0,approved,,2026-03-24 04:27:00
103,103,6,85.3,approved,,2026-03-13 09:57:00
104,104,6,73.8,minor_fix,timestamp_drift,2026-03-28 22:08:00
105,105,2,55.1,rejected,timestamp_drift,2026-03-18 08:08:00
106,106,2,67.4,rejected,timestamp_drift,2026-03-19 01:21:00
107,107,2,73.2,minor_fix,wrong_speaker,2026-03-13 00:01:00
108,108,6,77.5,minor_fix,bad_transcript,2026-03-19 09:43:00
109,109,6,83.0,approved,,2026-03-07 21:59:00
110,110,6,92.2,approved,,2026-03-22 16:20:00
111,111,2,89.4,approved,,2026-03-29 03:12:00
112,112,6,62.1,rejected,missed_segment,2026-03-09 00:50:00
113,113,2,64.5,rejected,timestamp_drift,2026-03-15 04:50:00
114,114,6,65.9,rejected,missed_segment,2026-03-20 15:57:00
115,115,6,76.4,minor_fix,bad_transcript,2026-03-19 22:26:00
116,116,6,88.0,approved,,2026-03-20 16:22:00
117,117,2,74.9,minor_fix,wrong_emotion,2026-03-25 10:37:00
118,118,2,67.9,rejected,missed_segment,2026-03-08 08:31:00
119,119,6,71.0,minor_fix,bad_transcript,2026-03-31 10:17:00
120,120,6,84.7,approved,,2026-03-14 17:37:00
121,121,6,51.9,rejected,wrong_emotion,2026-03-28 18:01:00
122,122,6,71.0,minor_fix,missed_segment,2026-03-22 22:35:00
123,123,6,85.1,approved,,2026-03-30 17:30:00
124,124,6,79.4,minor_fix,bad_transcript,2026-03-17 00:17:00
125,125,6,85.1,approved,,2026-03-09 02:36:00
126,126,2,82.2,approved,,2026-03-22 17:22:00
127,127,6,79.4,minor_fix,missed_segment,2026-03-14 10:04:00
128,128,2,49.7,rejected,bad_transcript,2026-03-13 10:48:00
129,129,2,61.6,rejected,missed_segment,2026-03-26 20:33:00
130,130,2,59.4,rejected,bad_transcript,2026-03-24 21:43:00
131,131,2,60.2,rejected,wrong_emotion,2026-03-09 17:50:00
132,132,6,70.7,minor_fix,wrong_speaker,2026-03-19 04:02:00
133,133,6,61.9,rejected,wrong_emotion,2026-03-04 17:49:00
134,134,2,93.7,approved,,2026-03-10 19:48:00
135,135,6,67.1,rejected,timestamp_drift,2026-03-17 18:04:00
136,136,2,65.9,rejected,timestamp_drift,2026-03-04 19:10:00
137,137,6,89.2,approved,,2026-03-08 11:00:00
138,138,6,69.6,minor_fix,guideline_violation,2026-03-22 10:18:00
139,139,2,96.2,approved,,2026-03-07 13:30:00
140,140,6,72.0,minor_fix,wrong_speaker,2026-03-25 22:58:00
141,141,6,82.4,approved,,2026-03-13 16:24:00
142,142,6,89.4,approved,,2026-03-05 02:46:00
143,143,2,64.4,rejected,missed_segment,2026-03-15 06:12:00
144,144,6,61.4,rejected,wrong_emotion,2026-03-16 23:31:00
145,145,2,83.6,approved,,2026-03-29 22:59:00
146,146,2,85.0,approved,,2026-03-20 00:45:00
147,147,6,67.4,rejected,wrong_emotion,2026-03-24 21:17:00
148,148,6,85.5,approved,,2026-03-09 22:30:00
149,149,6,87.9,approved,,2026-03-09 01:26:00
150,150,2,70.3,minor_fix,bad_transcript,2026-03-15 08:10:00
151,151,6,82.9,approved,,2026-03-25 09:43:00
152,152,6,44.4,rejected,bad_transcript,2026-03-14 01:38:00
153,153,2,71.5,minor_fix,bad_transcript,2026-03-27 07:34:00
154,154,6,78.8,minor_fix,timestamp_drift,2026-03-17 10:13:00
155,155,2,81.1,minor_fix,bad_transcript,2026-03-06 16:06:00
156,156,6,76.9,minor_fix,wrong_emotion,2026-03-05 04:12:00
157,157,2,70.2,minor_fix,guideline_violation,2026-03-25 04:21:00
158,158,2,88.6,approved,,2026-03-16 17:36:00
159,159,2,67.2,rejected,missed_segment,2026-03-17 04:57:00
160,160,2,68.3,minor_fix,timestamp_drift,2026-03-05 18:31:00
161,161,6,69.7,minor_fix,wrong_speaker,2026-03-26 22:12:00
162,162,6,72.5,minor_fix,wrong_speaker,2026-03-20 11:17:00
163,163,6,77.8,minor_fix,bad_transcript,2026-03-24 19:13:00
164,164,2,59.8,rejected,bad_transcript,2026-03-16 07:29:00
