segment_id,annotation_id,start_sec,end_sec,speaker,emotion,vocal_delivery,transcript_len
1,1,0.0,2.89,N/A,frustrated,whisper,100
2,1,4.06,7.29,Speaker 1,excited,monotone,24
3,1,8.13,11.29,N/A,neutral,monotone,118
4,1,12.19,16.02,Speaker 2,frustrated,emphatic,8
5,1,16.26,20.26,Speaker 3,frustrated,whisper,108
6,1,20.32,23.32,Speaker 3,anxious,whisper,52
7,1,24.39,27.63,Speaker 3,angry,fast,53
8,1,28.45,32.11,N/A,angry,monotone,72
9,1,32.52,35.73,Speaker 1,anxious,hesitant,26
10,1,36.58,39.95,Speaker 3,confused,emphatic,56
11,1,40.65,44.32,N/A,angry,whisper,10
12,1,44.71,47.9,Speaker 3,happy,laughing,96
13,1,48.78,51.91,Speaker 3,sad,laughing,25
14,1,52.84,55.87,Speaker 1,sad,emphatic,78
15,1,56.91,60.79,Speaker 1,confused,emphatic,113
16,1,60.97,64.58,Speaker 2,excited,emphatic,51
17,1,65.04,68.18,Speaker 1,happy,laughing,54
18,2,0.0,3.27,Speaker 3,confused,monotone,104
19,2,3.64,6.97,N/A,confused,fast,95
20,2,7.27,10.76,N/A,anxious,laughing,31
21,2,10.91,14.37,Speaker 3,confused,whisper,30
22,2,14.55,17.39,Speaker 1,anxious,fast,34
23,2,18.18,21.1,Speaker 1,angry,fast,29
24,2,21.82,24.78,Speaker 2,sad,calm,53
25,2,25.46,28.45,N/A,excited,calm,26
26,2,29.09,32.55,N/A,neutral,laughing,112
27,2,32.73,36.11,N/A,confused,calm,120
28,2,36.37,39.3,N/A,excited,monotone,95
29,2,40.01,43.35,Speaker 2,confused,fast,34
30,2,43.64,46.66,Speaker 1,excited,hesitant,85
31,2,47.28,50.57,N/A,angry,laughing,59
32,2,50.92,54.46,Speaker 1,excited,monotone,72
33,2,54.55,57.82,Speaker 1,excited,fast,110
34,2,58.19,61.24,Speaker 1,anxious,emphatic,41
35,2,61.83,64.6,Speaker 3,frustrated,laughing,112
36,2,65.46,68.42,N/A,anxious,laughing,10
37,3,0.0,3.07,Speaker 2,sad,laughing,2
38,3,3.32,6.25,Speaker 2,angry,emphatic,85
39,3,6.63,9.07,Speaker 2,confused,whisper,32
40,3,9.95,13.03,Speaker 2,happy,laughing,104
41,3,13.26,15.75,Speaker 3,happy,monotone,3
42,3,16.58,19.82,N/A,excited,whisper,25
43,3,19.89,22.29,Speaker 2,happy,whisper,98
44,3,23.21,25.83,Speaker 1,neutral,hesitant,68
45,3,26.52,29.27,Speaker 3,happy,monotone,82
46,3,29.84,32.5,N/A,confused,calm,55
47,3,33.15,36.43,N/A,angry,emphatic,22
48,3,36.47,39.52,Speaker 3,confused,emphatic,55
49,3,39.78,42.93,Speaker 3,frustrated,laughing,31
50,4,0.0,4.56,Speaker 3,anxious,hesitant,35
51,4,5.39,10.58,Speaker 3,neutral,monotone,24
52,4,10.78,14.68,N/A,confused,monotone,97
53,4,16.16,20.32,N/A,confused,emphatic,101
54,4,21.55,25.35,Speaker 3,sad,emphatic,88
55,4,26.94,31.1,Speaker 3,confused,monotone,67
56,4,32.33,36.65,Speaker 3,frustrated,whisper,58
57,4,37.71,41.92,Speaker 3,sad,calm,92
58,5,0.0,5.41,Speaker 1,sad,hesitant,29
59,5,6.16,11.13,Speaker 3,neutral,whisper,68
60,5,12.31,16.86,Speaker 1,neutral,monotone,37
61,5,18.47,24.07,Speaker 2,confused,calm,111
62,5,24.63,28.96,Speaker 3,confused,emphatic,56
63,5,30.79,35.73,Speaker 1,anxious,laughing,61
64,5,36.94,41.46,Speaker 1,excited,emphatic,9
65,6,0.0,4.85,N/A,confused,emphatic,38
66,6,5.2,10.18,N/A,anxious,monotone,79
67,6,10.4,14.13,Speaker 1,sad,whisper,27
68,6,15.6,19.65,Speaker 1,angry,fast,22
69,6,20.8,25.3,Speaker 2,neutral,emphatic,57
70,7,0.0,3.16,Speaker 2,anxious,laughing,101
71,7,4.38,8.26,Speaker 2,excited,calm,69
72,7,8.75,12.11,Speaker 2,anxious,laughing,18
73,7,13.12,16.28,Speaker 2,anxious,monotone,95
74,7,17.5,21.64,Speaker 3,confused,calm,59
75,7,21.88,25.84,N/A,anxious,monotone,69
76,7,26.25,29.96,Speaker 1,neutral,emphatic,94
77,7,30.62,34.11,Speaker 3,neutral,calm,29
78,7,35.0,39.33,Speaker 1,anxious,monotone,5
79,7,39.38,43.44,Speaker 2,confused,monotone,83
80,7,43.75,47.39,Speaker 3,angry,monotone,55
81,7,48.12,52.02,N/A,happy,emphatic,44
82,7,52.5,56.1,Speaker 3,happy,laughing,20
83,7,56.88,60.37,N/A,anxious,whisper,120
84,7,61.25,64.84,Speaker 1,confused,calm,40
85,7,65.62,69.02,Speaker 1,excited,laughing,65
86,8,0.0,5.26,Speaker 3,confused,whisper,62
87,8,6.08,10.56,Speaker 2,angry,hesitant,70
88,8,12.17,16.45,N/A,happy,fast,107
89,8,18.25,24.17,N/A,happy,whisper,106
90,8,24.33,28.87,Speaker 3,anxious,emphatic,106
91,8,30.42,35.56,N/A,sad,emphatic,70
92,8,36.5,41.02,Speaker 2,angry,laughing,8
93,8,42.58,47.35,N/A,frustrated,laughing,64
94,8,48.67,53.41,Speaker 1,anxious,whisper,38
95,8,54.75,60.54,N/A,angry,emphatic,68
96,8,60.83,65.98,Speaker 3,excited,emphatic,119
97,8,66.92,71.76,Speaker 2,sad,monotone,49
