task_id,batch,media_type,language,duration_sec,difficulty
1,B01,audio,en,69.1,hard
2,B01,video,es,43.1,hard
3,B01,video,pt,26.0,easy
4,B01,video,ja,70.0,easy
5,B01,audio,en,73.0,medium
6,B01,audio,hi,39.3,medium
7,B01,video,es,78.6,easy
8,B01,audio,es,69.6,hard
9,B01,video,ja,32.1,easy
10,B01,video,ja,86.2,hard
11,B01,video,es,70.5,hard
12,B01,audio,pt,77.0,hard
13,B01,audio,en,38.7,easy
14,B01,audio,es,34.6,easy
15,B01,audio,pt,80.1,medium
16,B01,audio,ja,27.8,hard
17,B01,audio,ja,68.0,easy
18,B01,audio,en,62.1,hard
19,B01,audio,pt,51.3,hard
20,B01,video,en,84.2,hard
21,B02,audio,pt,40.7,hard
22,B02,video,hi,81.8,medium
23,B02,audio,en,26.4,medium
24,B02,audio,es,53.4,hard
25,B02,audio,ja,13.8,hard
26,B02,audio,en,13.5,easy
27,B02,video,ja,50.2,medium
28,B02,video,en,52.2,hard
29,B02,video,en,72.3,medium
30,B02,audio,ja,15.9,medium
31,B02,video,hi,41.7,hard
32,B02,audio,ja,13.0,hard
33,B02,video,ja,28.4,easy
34,B02,video,en,42.6,medium
35,B02,video,en,79.7,easy
36,B02,video,es,16.0,hard
37,B02,audio,ja,84.0,easy
38,B02,audio,hi,47.8,easy
39,B02,video,ja,21.5,easy
40,B02,video,pt,84.0,medium
41,B03,video,hi,65.1,hard
42,B03,video,en,23.6,easy
43,B03,audio,es,68.3,easy
44,B03,video,ja,12.1,medium
45,B03,audio,ja,86.8,easy
46,B03,audio,ja,56.8,hard
47,B03,audio,hi,17.8,hard
48,B03,audio,es,56.8,hard
49,B03,audio,hi,61.9,hard
50,B03,video,pt,24.7,hard
51,B03,video,en,29.8,easy
52,B03,video,hi,33.9,easy
53,B03,audio,hi,58.9,hard
54,B03,audio,ja,52.1,hard
55,B03,video,en,84.5,easy
56,B03,audio,pt,31.4,medium
57,B03,video,es,88.7,hard
58,B03,audio,es,32.5,hard
59,B03,audio,en,29.7,easy
60,B03,audio,pt,31.1,easy
61,B04,video,en,64.4,medium
62,B04,video,pt,82.2,easy
63,B04,audio,hi,76.0,easy
64,B04,audio,pt,71.2,hard
65,B04,video,en,68.8,hard
66,B04,video,es,8.8,easy
67,B04,audio,es,11.0,medium
68,B04,audio,hi,18.5,medium
69,B04,video,ja,81.7,easy
70,B04,audio,ja,37.0,hard
71,B04,video,es,69.5,easy
72,B04,audio,en,80.3,easy
73,B04,audio,pt,72.2,medium
74,B04,audio,pt,21.1,hard
75,B04,audio,hi,79.5,medium
76,B04,audio,en,75.0,medium
77,B04,video,pt,75.3,easy
78,B04,audio,ja,62.1,medium
79,B04,video,pt,78.9,medium
80,B04,video,es,40.8,hard
